Map ID,Az [deg],El [deg],Del-Az [deg],Del-El [deg],Del-Az [amin],Del-El [amin]
250101T195415,"77,93","27,15","0,069","0,080","4,15","4,79"
250101T210109,"60,93","31,26","0,076","0,085","4,54","5,07"
250101T220745,"43,02","34,73","0,078","0,082","4,67","4,92"
250101T230131,"27,69","36,80","0,083","0,068","4,99","4,08"
250102T001125,"7,70","38,18","0,091","0,069","5,44","4,15"
250102T011751,"348,52","38,04","0,084","0,065","5,03","3,93"
250102T022452,"329,26","36,46","0,080","0,065","4,80","3,90"
250102T033347,"309,68","33,42","0,071","0,055","4,25","3,29"
250102T194529,"83,47","25,59","0,067","0,086","4,01","5,13"
250102T211131,"62,08","30,92","0,074","0,093","4,46","5,56"
250102T214539,"53,01","32,81","0,078","0,072","4,67","4,30"
250102T221949,"43,77","34,49","0,087","0,070","5,23","4,21"
250102T225400,"34,30","35,91","0,073","0,068","4,37","4,10"
250102T232817,"24,55","37,03","0,103","0,072","6,16","4,35"
250103T000235,"14,66","37,78","0,083","0,070","4,97","4,20"
250103T003658,"4,58","38,17","0,138","0,072","8,29","4,33"
250103T011125,"354,50","38,15","0,131","0,070","7,86","4,21"
250103T014550,"344,50","37,74","0,095","0,070","5,67","4,23"
250103T022016,"334,59","36,95","0,084","0,070","5,07","4,22"
250103T025443,"324,77","35,77","0,080","0,051","4,83","3,06"
250103T032905,"315,29","34,32","0,073","0,051","4,38","3,06"
250103T040326,"306,03","32,60","0,066","0,053","3,94","3,21"
250103T043707,"297,27","30,73","0,068","0,054","4,08","3,26"
250103T051128,"288,49","28,65","0,065","0,057","3,90","3,40"
250103T202803,"69,76","29,01","0,071","0,089","4,27","5,32"
250103T213420,"52,40","32,84","0,062","0,082","3,70","4,92"
250103T224044,"34,11","35,84","0,077","0,072","4,60","4,32"
250103T235133,"13,84","37,73","0,085","0,072","5,09","4,33"
250104T005810,"354,32","38,04","0,050","0,067","3,02","4,03"
250104T020447,"334,97","36,87","0,103","0,061","6,21","3,67"
250104T031122,"316,23","34,38","0,075","0,060","4,52","3,59"
250104T041705,"299,02","31,02","0,064","0,059","3,84","3,52"
250104T052329,"282,09","26,91","0,057","0,056","3,43","3,33"
250104T200112,"80,02","26,29","0,071","0,083","4,24","4,95"
250104T203517,"71,52","28,47","0,074","0,090","4,42","5,41"
250104T210923,"62,77","30,54","0,106","0,098","6,38","5,85"
250104T214331,"53,84","32,45","0,082","0,091","4,90","5,46"
250104T221741,"44,64","34,15","0,083","0,090","5,01","5,38"
250104T225153,"35,19","35,60","0,085","0,089","5,10","5,32"
250104T232608,"25,52","36,73","0,077","0,084","4,60","5,07"
250105T000028,"15,54","37,52","0,070","0,066","4,23","3,97"
250105T003450,"5,53","37,93","0,054","0,067","3,22","4,02"
250105T010918,"355,45","37,95","0,072","0,067","4,30","4,05"
250105T021154,"337,39","36,98","0,085","0,057","5,09","3,39"
250105T024616,"327,73","35,97","0,085","0,077","5,09","4,61"
250105T032040,"318,07","34,57","0,075","0,057","4,52","3,40"
250105T035500,"308,67","32,90","0,071","0,047","4,28","2,84"
250105T042918,"299,64","31,04","0,036","0,057","2,18","3,41"
250105T050339,"290,78","28,99","0,071","0,053","4,23","3,16"
250105T235543,"16,92","37,30","0,088","0,057","5,26","3,44"
250106T003001,"6,95","37,77","0,083","0,057","5,01","3,39"
250106T010421,"356,94","37,85","0,063","0,058","3,78","3,46"
250106T013844,"347,01","37,55","0,074","0,076","4,47","4,53"
250106T021304,"337,02","36,83","0,071","0,058","4,27","3,46"
250106T024652,"327,61","35,82","0,101","0,057","6,05","3,42"
250106T032106,"318,12","34,46","0,072","0,062","4,33","3,70"
250106T035522,"308,74","32,80","0,071","0,051","4,26","3,07"
250106T042935,"299,71","30,93","0,068","0,054","4,10","3,23"
250106T050348,"290,91","28,90","0,068","0,055","4,08","3,32"
250106T053759,"282,33","26,74","0,062","0,053","3,74","3,16"
250106T061210,"273,95","24,52","0,048","0,062","2,88","3,69"
250106T194246,"84,68","24,80","0,090","0,087","5,40","5,20"
250106T201645,"76,34","27,00","0,060","0,082","3,62","4,92"
250106T205044,"67,77","29,14","0,073","0,093","4,39","5,55"
250106T212524,"58,81","31,17","0,078","0,092","4,68","5,49"
250106T215927,"49,78","32,99","0,084","0,093","5,02","5,58"
250106T223332,"40,41","34,58","0,083","0,069","4,97","4,15"
250106T230657,"27,04","36,32","0,081","0,070","4,84","4,17"
