# Location: MZS, Antarctica
# Antenna diameter: 2.0 m
# Frequency: 100e9 Hz
# timestamp: ISO 8601
# azimuth: observed azimuth, deg
# elevation: observed elevation, deg
# offset_az: solar azimuth - observed azimuth, arcsec
# offset_el: solar elevation - observed elevation, arcsec
# temperature: °C
# pressure: hPa
# humidity: relative humidity, fraction
# Generated with software version: 2025.08.05
# Created at: 2025-08-11T12:00:00Z

timestamp	azimuth	elevation	offset_az	offset_el	temperature	pressure	humidity
2025-01-01T19:54:15Z	77.93	27.15	248	288	-2.7	NaN	0.19
2025-01-01T21:01:09Z	60.93	31.26	274	306	-2.3	NaN	0.19
2025-01-01T22:07:45Z	43.02	34.73	281	295	-2.4	NaN	0.19
2025-01-01T23:01:31Z	27.69	36.8	299	245	-1.2	NaN	0.18
2025-01-02T00:11:25Z	7.7     38.18	328	248	-1.9	NaN	0.19
2025-01-02T01:17:51Z	348.52	38.04	302	234	-2.1	NaN	0.19
2025-01-02T02:24:52Z	329.26	36.46	288	234	-1.6	NaN	0.21
2025-01-02T03:33:47Z	309.68	33.42	256	198	-1.5	NaN	0.19
2025-01-02T19:45:29Z	83.47	25.59	241	310	-2.7	NaN	0.22
2025-01-02T21:11:31Z	62.08	30.92	266	335	-2.9	NaN	0.21
2025-01-02T21:45:39Z	53.01	32.81	281	259	-1.7	NaN	0.21
2025-01-02T22:19:49Z	43.77	34.49	313	252	-1.3	NaN	0.22
2025-01-02T22:54:00Z	34.3	35.91	263	245	-1.2	NaN	0.22
2025-01-02T23:28:17Z	24.55	37.03	371	259	-1.1	NaN	0.21
2025-01-03T00:02:35Z	14.66	37.78	299	252	-2.3	NaN	0.19
2025-01-03T00:36:58Z	4.58	38.17	497	259	-1.1	NaN	0.19
2025-01-03T01:11:25Z	354.5	38.15	472	252	-2.8	NaN	0.20
2025-01-03T01:45:50Z	344.5	37.74	342	252	-2.5	NaN	0.20
2025-01-03T02:20:16Z	334.59	36.95	302	252	-3.0	NaN	0.19
2025-01-03T02:54:43Z	324.77	35.77	288	184	-2.4	NaN	0.20
2025-01-03T03:29:05Z	315.29	34.32	263	184	-2.7	NaN	0.22
2025-01-03T04:03:26Z	306.03	32.6	238	191	-1.1	NaN	0.19
2025-01-03T04:37:07Z	297.27	30.73	245	194	-2.4	NaN	0.21
2025-01-03T05:11:28Z	288.49	28.65	234	205	-1.4	NaN	0.22
2025-01-03T20:28:03Z	69.76	29.01	256	320	-1.9	NaN	0.21
2025-01-03T21:34:20Z	52.4	32.84	223	295	-1.7	NaN	0.20
2025-01-03T22:40:44Z	34.11	35.84	277	259	-1.2	NaN	0.19
